title,start,end,location,description,event_type,source_file
1. Advent,2026-11-29 00:00:00+00:00,2026-11-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2025-05-29 00:00:00+00:00,2025-05-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Rosenmontag,2027-02-08 00:00:00+00:00,2027-02-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Karfreitag,2024-03-29 00:00:00+00:00,2024-03-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2026-12-13 00:00:00+00:00,2026-12-14 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2028-06-05 00:00:00+00:00,2028-06-06 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Neujahr,2024-01-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2026-05-14 00:00:00+00:00,2026-05-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2024-05-09 00:00:00+00:00,2024-05-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostermontag,2028-04-17 00:00:00+00:00,2028-04-18 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Advent,2029-12-02 00:00:00+00:00,2029-12-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2028-05-25 00:00:00+00:00,2028-05-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Rosenmontag,2028-02-28 00:00:00+00:00,2028-02-29 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2028-12-17 00:00:00+00:00,2028-12-18 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Advent,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2027-11-02 00:00:00+00:00,2027-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Heilige Drei Könige,2024-01-06 00:00:00+00:00,2024-01-07 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY und ST",holiday,holidays_de.ics.ics
Fronleichnam,2025-06-19 00:00:00+00:00,2025-06-20 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
Gründonnerstag,2028-04-13 00:00:00+00:00,2028-04-14 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2024-05-09 00:00:00+00:00,2024-05-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstsonntag,2025-06-08 00:00:00+00:00,2025-06-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Internationaler Frauentag,2024-03-08 00:00:00+00:00,2024-03-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostersonntag,2029-04-01 00:00:00+00:00,2029-04-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Weihnachtsfeiertag,2024-12-26 00:00:00+00:00,2024-12-27 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Erster Mai,2024-05-01 00:00:00+00:00,2024-05-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Aschermittwoch,2027-02-10 00:00:00+00:00,2027-02-11 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2028-05-25 00:00:00+00:00,2028-05-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2028-11-22 00:00:00+00:00,2028-11-23 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
4. Advent,2028-12-24 00:00:00+00:00,2028-12-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2029-11-21 00:00:00+00:00,2029-11-22 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
Ostermontag,2025-04-21 00:00:00+00:00,2025-04-22 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Muttertag,2024-05-12 00:00:00+00:00,2024-05-13 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Karfreitag,2029-03-30 00:00:00+00:00,2029-03-31 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2027-12-12 00:00:00+00:00,2027-12-13 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2025-11-19 00:00:00+00:00,2025-11-20 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
Faschingsdienstag,2027-02-09 00:00:00+00:00,2027-02-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ende der Sommerzeit,2024-10-27 00:00:00+00:00,2024-10-28 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstsonntag,2028-06-04 00:00:00+00:00,2028-06-05 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Faschingsdienstag,2025-03-04 00:00:00+00:00,2025-03-05 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Altweiberfasching,2028-02-24 00:00:00+00:00,2028-02-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2029-05-10 00:00:00+00:00,2029-05-11 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2027-11-17 00:00:00+00:00,2027-11-18 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
Pfingstsonntag,2026-05-24 00:00:00+00:00,2026-05-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Gründonnerstag,2029-03-29 00:00:00+00:00,2029-03-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Faschingsdienstag,2029-02-13 00:00:00+00:00,2029-02-14 00:00:00+00:00,,,holiday,holidays_de.ics.ics
4. Advent,2025-12-21 00:00:00+00:00,2025-12-22 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2029-05-21 00:00:00+00:00,2029-05-22 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Gründonnerstag,2027-03-25 00:00:00+00:00,2027-03-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2024-05-20 00:00:00+00:00,2024-05-21 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstsonntag,2027-05-16 00:00:00+00:00,2027-05-17 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2024-03-24 00:00:00+00:00,2024-03-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2029-11-25 00:00:00+00:00,2029-11-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Advent,2028-12-03 00:00:00+00:00,2028-12-04 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Nikolaus,2024-12-06 00:00:00+00:00,2024-12-07 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2027-11-21 00:00:00+00:00,2027-11-22 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2026-05-14 00:00:00+00:00,2026-05-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Faschingsdienstag,2028-02-29 00:00:00+00:00,2028-03-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostersonntag,2028-04-16 00:00:00+00:00,2028-04-17 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Rosenmontag,2025-03-03 00:00:00+00:00,2025-03-04 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Faschingsdienstag,2024-02-13 00:00:00+00:00,2024-02-14 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Faschingsdienstag,2026-02-17 00:00:00+00:00,2026-02-18 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Altweiberfasching,2025-02-27 00:00:00+00:00,2025-02-28 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Altweiberfasching,2027-02-04 00:00:00+00:00,2027-02-05 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Aschermittwoch,2029-02-14 00:00:00+00:00,2029-02-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2026-05-25 00:00:00+00:00,2026-05-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2024-11-02 00:00:00+00:00,2024-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2028-11-26 00:00:00+00:00,2028-11-27 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Aschermittwoch,2025-03-05 00:00:00+00:00,2025-03-06 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2029-12-16 00:00:00+00:00,2029-12-17 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Advent,2026-12-06 00:00:00+00:00,2026-12-07 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Fronleichnam,2029-05-31 00:00:00+00:00,2029-06-01 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
2. Advent,2025-12-07 00:00:00+00:00,2025-12-08 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2027-05-06 00:00:00+00:00,2027-05-07 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2025-05-29 00:00:00+00:00,2025-05-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Gründonnerstag,2025-04-17 00:00:00+00:00,2025-04-18 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostermontag,2026-04-06 00:00:00+00:00,2026-04-07 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Erntedankfest,2024-10-06 00:00:00+00:00,2024-10-07 00:00:00+00:00,,Das Datum dieses beweglichen Feiertags kann nicht genau vorhergesagt werden; dies ist nur eine ungefähre Angabe.,holiday,holidays_de.ics.ics
Ostersonntag,2027-03-28 00:00:00+00:00,2027-03-29 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Weihnachtsfeiertag,2024-12-25 00:00:00+00:00,2024-12-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostersonntag,2025-04-20 00:00:00+00:00,2025-04-21 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Advent,2025-11-30 00:00:00+00:00,2025-12-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2024-12-15 00:00:00+00:00,2024-12-16 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2029-11-02 00:00:00+00:00,2029-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Vatertag,2029-05-10 00:00:00+00:00,2029-05-11 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2026-11-22 00:00:00+00:00,2026-11-23 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Altweiberfasching,2029-02-08 00:00:00+00:00,2029-02-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Fronleichnam,2027-05-27 00:00:00+00:00,2027-05-28 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
Pfingstsonntag,2029-05-20 00:00:00+00:00,2029-05-21 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Gründonnerstag,2026-04-02 00:00:00+00:00,2026-04-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2027-05-17 00:00:00+00:00,2027-05-18 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Valentinstag,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Altweiberfasching,2024-02-08 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2026-11-02 00:00:00+00:00,2026-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Advent,2024-12-01 00:00:00+00:00,2024-12-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Advent,2029-12-09 00:00:00+00:00,2029-12-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Reg war,2017-08-15 00:50:00+00:00,2017-08-15 00:50:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2023-12-08 00:00:00+00:00,2023-12-09 00:00:00+00:00,,,personal,reminders.ics
ท่องที่พรีเซนต์เยอร,2017-11-24 00:00:00+00:00,2017-11-24 00:00:00+00:00,,,personal,reminders.ics
ส่งข้อสอบให้แม่ปริ้นท์,2017-10-26 12:00:00+00:00,2017-10-26 12:00:00+00:00,,,personal,reminders.ics
Zeugnisanerkennung bei Philipps Mama,2021-08-23 00:00:00+00:00,2021-08-24 00:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-06-08 00:00:00+00:00,2024-06-09 00:00:00+00:00,,,personal,reminders.ics
เอากล้องโพลารอยด์ไปด้วย,2019-07-02 23:00:00+00:00,2019-07-02 23:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-03-08 00:00:00+00:00,2024-03-09 00:00:00+00:00,,,personal,reminders.ics
ใบรับรองแพทย์ หัดเยอรมัน,2021-08-03 00:00:00+00:00,2021-08-04 00:00:00+00:00,,,personal,reminders.ics
ฝนติด 5 บาท,2017-05-02 01:00:00+00:00,2017-05-02 01:00:00+00:00,,,personal,reminders.ics
222: Präsentation,2025-05-21 07:00:00+00:00,2025-05-21 07:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-04-08 00:00:00+00:00,2024-04-09 00:00:00+00:00,,,personal,reminders.ics
ซื้อ ถั่วแดงกวน + เส้นสปาเก็ตตี้,2017-08-25 06:00:00+00:00,2017-08-25 06:00:00+00:00,,,personal,reminders.ics
เอา lebenslauf มาด้วย,2017-11-13 11:00:00+00:00,2017-11-13 11:00:00+00:00,,,personal,reminders.ics
Müsli?,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,,,personal,reminders.ics
Lebenslauf ส่งก่อนวันที่ 20 ต.ค.,2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,,,personal,reminders.ics
เติมแก๊ส,2019-05-27 09:00:00+00:00,2019-05-27 09:00:00+00:00,,,personal,reminders.ics
หน้ากากอนามัย,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,,,personal,reminders.ics
225: Abgabe Projektarbeit,2025-06-30 21:00:00+00:00,2025-06-30 21:00:00+00:00,,,personal,reminders.ics
Ausbildungsvertrag มาที่ Darmstadt ด้วย,2021-09-26 00:00:00+00:00,2021-09-27 00:00:00+00:00,,,personal,reminders.ics
สมัครฝึกงานกับ chevron,2018-10-20 01:00:00+00:00,2018-10-20 01:00:00+00:00,,,personal,reminders.ics
ถามไปรษณีย์,2018-07-23 10:00:00+00:00,2018-07-23 10:00:00+00:00,,,personal,reminders.ics
102: Übung 11,2024-12-05 19:00:00+00:00,2024-12-05 19:00:00+00:00,,,personal,reminders.ics
อย่าลืมรองเท้าวิ่ง กับรองเท้าสีดำ,2018-08-26 23:00:00+00:00,2018-08-26 23:00:00+00:00,,,personal,reminders.ics
ถามซิม Vodafone,2018-07-23 10:00:00+00:00,2018-07-23 10:00:00+00:00,,,personal,reminders.ics
222: Themenpräsentation,2025-04-09 00:00:00+00:00,2025-04-10 00:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2025-12-03 00:00:00+00:00,2025-12-04 00:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2022-06-08 00:00:00+00:00,2022-06-09 00:00:00+00:00,,,personal,reminders.ics
เอารองเท้าแตะ,2017-08-24 23:20:00+00:00,2017-08-24 23:20:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,,,personal,reminders.ics
ซื้อ Thai CIV,2017-08-25 07:00:00+00:00,2017-08-25 07:00:00+00:00,,,personal,reminders.ics
ทวงเงินปุณ 500,2017-09-22 12:00:00+00:00,2017-09-22 12:00:00+00:00,,,personal,reminders.ics
Google Duo-Audio ‪‭+49 159 06753477‬‬,2020-08-14 16:48:00+00:00,2020-08-14 16:48:00+00:00,,,personal,reminders.ics
102: Ode an den Müll,2025-01-11 19:00:00+00:00,2025-01-11 19:00:00+00:00,,,personal,reminders.ics
ปริ้นท์รูป 2 ใบ,2017-07-26 13:00:00+00:00,2017-07-26 13:00:00+00:00,,,personal,reminders.ics
⁠⁠อย่าลืมแก้ lebenslauf สัญชาติ & ภาษา,2017-11-27 11:00:00+00:00,2017-11-27 11:00:00+00:00,,,personal,reminders.ics
325: Präsentation,2025-11-05 08:00:00+00:00,2025-11-05 08:00:00+00:00,,,personal,reminders.ics
ทวนเงินค่าขนมกับแม่,2017-08-24 23:15:00+00:00,2017-08-24 23:15:00+00:00,,,personal,reminders.ics
125: Reflexion,2025-01-21 22:55:00+00:00,2025-01-21 22:55:00+00:00,,,personal,reminders.ics
แปลงานอ.วรรณา,2018-09-18 05:00:00+00:00,2018-09-18 05:00:00+00:00,,,personal,reminders.ics
225: Endpräsentation,2025-07-01 07:00:00+00:00,2025-07-01 07:00:00+00:00,,,personal,reminders.ics
ปริ้นท์ชีท dativ + passiv + partizip I/II,2018-12-09 23:00:00+00:00,2018-12-09 23:00:00+00:00,,,personal,reminders.ics
222: Präsentation,2025-06-04 07:00:00+00:00,2025-06-04 07:00:00+00:00,,,personal,reminders.ics
ซื้อพริกป่นเกาหลี,2018-01-30 04:00:00+00:00,2018-01-30 04:00:00+00:00,,,personal,reminders.ics
เอาของในเทลล์,2017-08-25 13:00:00+00:00,2017-08-25 13:00:00+00:00,,,personal,reminders.ics
125: HA IF-Bot installieren und analysieren,2024-10-28 22:55:00+00:00,2024-10-28 22:55:00+00:00,,,personal,reminders.ics
อย่าลืม passport,2021-08-08 00:30:00+00:00,2021-08-08 00:30:00+00:00,,,personal,reminders.ics
ใบรับรองแพทย์ หัดเยอรมัน,2021-08-04 00:00:00+00:00,2021-08-05 00:00:00+00:00,,,personal,reminders.ics
322: Warm Up,2025-11-25 08:00:00+00:00,2025-11-25 08:00:00+00:00,,,personal,reminders.ics
เขียนงาน antje,2017-11-10 11:00:00+00:00,2017-11-10 11:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-11-03 00:00:00+00:00,2024-11-04 00:00:00+00:00,,,personal,reminders.ics
กินยา,2017-04-12 11:00:00+00:00,2017-04-12 11:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-07-08 00:00:00+00:00,2024-07-09 00:00:00+00:00,,,personal,reminders.ics
102: Semesterdokumentation,2025-01-10 19:00:00+00:00,2025-01-10 19:00:00+00:00,,,personal,reminders.ics
อย่าลืมกินยาก่อนนอน,2018-02-25 13:00:00+00:00,2018-02-25 13:00:00+00:00,,,personal,reminders.ics
102: Übung 8,2024-11-21 19:00:00+00:00,2024-11-21 19:00:00+00:00,,,personal,reminders.ics
เติมเงินค่าบีทีเอส,2018-01-30 04:00:00+00:00,2018-01-30 04:00:00+00:00,,,personal,reminders.ics
Mung bean sprout 100g,2022-10-26 13:00:00+00:00,2022-10-26 13:00:00+00:00,,,personal,reminders.ics
อย่าลืมกินยาก่อนนอน,2017-09-15 13:00:00+00:00,2017-09-15 13:00:00+00:00,,,personal,reminders.ics
ถ่ายเอกสารเตรียมสอน,2017-07-17 03:00:00+00:00,2017-07-17 03:00:00+00:00,,,personal,reminders.ics
ปริ้นท์เปเปอร์อีค่อน,2018-11-26 09:00:00+00:00,2018-11-26 09:00:00+00:00,,,personal,reminders.ics
อ่าน field trip,2017-10-02 21:30:00+00:00,2017-10-02 21:30:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2024-01-08 00:00:00+00:00,2024-01-09 00:00:00+00:00,,,personal,reminders.ics
Wäsche hochtragen,2025-02-19 12:00:00+00:00,2025-02-19 12:00:00+00:00,,,personal,reminders.ics
อ่าน Anfrage : Ger Writ,2017-09-11 11:00:00+00:00,2017-09-11 11:00:00+00:00,,,personal,reminders.ics
จ่ายค่าบริการรักษาเบอร์โทรศัพท์,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,,,personal,reminders.ics
323: Initiale Datenanalyse für Semesterprojekt,2025-11-12 22:00:00+00:00,2025-11-12 22:00:00+00:00,,,personal,reminders.ics
ทำวิชาแปลอ.วรรณา,2018-10-31 05:30:00+00:00,2018-10-31 05:30:00+00:00,,,personal,reminders.ics
ครีมทาหน้า,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,,,personal,reminders.ics
ที่ชาร์จแบตสำรอง,2017-10-16 01:00:00+00:00,2017-10-16 01:00:00+00:00,,,personal,reminders.ics
